round,variable,value,name,country,iso_alpha2,n_resp,prop
2,q83,-1,Missing,12,ZW,1,9.057971014492754e-4
2,q83,1,English,1,BW,5,0.004166666666666667
2,q83,1,English,2,GH,2,0.0016666666666666668
2,q83,1,English,14,KE,11,0.004314802012281688
2,q83,1,English,6,NA,11,0.009174311926605505
2,q83,1,English,10,UG,11,0.004304057349469546
2,q83,1,English,8,ZA,310,0.13588275320017584
2,q83,1,English,11,ZM,16,0.013202631609892013
2,q83,1,English,12,ZW,12,0.010869565217391304
2,q83,2,French,1,BW,2,0.0016666666666666668
2,q83,2,French,5,ML,1,7.79423226812159e-4
2,q83,2,French,6,NA,1,8.340283569641367e-4
2,q83,3,Portuguese,1,BW,3,0.0025
2,q83,3,Portuguese,13,CV,3,0.0020768187735133586
2,q83,3,Portuguese,15,MZ,46,0.019305779444285326
2,q83,3,Portuguese,6,NA,1,8.340283569641367e-4
2,q83,3,Portuguese,9,TZ,1,8.333333409722224e-4
2,q83,3,Portuguese,8,ZA,6,0.0018063313856334592
2,q83,3,Portuguese,11,ZM,1,7.943127255224567e-4
2,q83,3,Portuguese,12,ZW,3,0.002717391304347826
2,q83,4,Kiswahili,1,BW,2,0.0016666666666666668
2,q83,4,Kiswahili,14,KE,50,0.021493576297198478
2,q83,4,Kiswahili,15,MZ,2,4.748447871165757e-4
2,q83,4,Kiswahili,9,TZ,1168,0.9540868945791299
2,q83,4,Kiswahili,10,UG,9,0.003810999304045884
2,q83,4,Kiswahili,11,ZM,3,0.0025340782866504178
2,q83,50,Crioulo,13,CV,1265,0.9979231812264866
2,q83,60,Luganda,10,UG,403,0.19280461221261805
2,q83,61,Lusoga,10,UG,222,0.094744167060958
2,q83,62,Ateso,10,UG,140,0.058873796691760356
2,q83,63,Rutoro,10,UG,94,0.03982411130996948
2,q83,64,Rukiga,10,UG,181,0.07618711101722861
2,q83,65,Lumasaba,10,UG,121,0.050975936769915325
2,q83,66,Luo,10,UG,270,0.09587514082807706
2,q83,67,Lugbara,10,UG,131,0.047054955904268954
2,q83,68,Alur,10,UG,98,0.034743120398388914
2,q83,69,Madi,10,UG,37,0.013225505052019212
2,q83,70,Runyankole,10,UG,273,0.11628406685765723
2,q83,71,Runyoro,10,UG,77,0.03276086921315096
2,q83,72,Rukonjo,10,UG,46,0.019254965798618226
2,q83,73,Samia-Lugwe,10,UG,72,0.03033621036163813
2,q83,74,Kinyarwanda,10,UG,15,0.006785800940191158
2,q83,75,Rufumbira,10,UG,32,0.013367758403975003
2,q83,76,Kakwa,10,UG,25,0.009047533495810285
2,q83,77,Other Western languages,10,UG,21,0.008796310564938913
2,q83,78,Other Eastern languages,10,UG,88,0.03693036994517316
2,q83,79,Other Northern languages,10,UG,21,0.00833397613051398
2,q83,81,Emakhuwa,15,MZ,345,0.4258537874326375
2,q83,82,Cisena,15,MZ,136,0.09512108805624758
2,q83,83,Cindau,15,MZ,70,0.029787252228231087
2,q83,84,Cinyanja,15,MZ,47,0.03542700062328711
2,q83,85,Xichangana,15,MZ,319,0.13979233403036787
2,q83,86,Cicopi,15,MZ,36,0.019894121300271086
2,q83,87,Gitonga,15,MZ,56,0.03943241941608249
2,q83,88,Shimakonde,15,MZ,30,0.011853256803231555
2,q83,89,Echuwabu,15,MZ,45,0.059412298147304934
2,q83,90,Ajaua,15,MZ,36,0.014239905838921669
2,q83,91,Cinyungwe,15,MZ,47,0.027159487183373136
2,q83,92,Citshwa,15,MZ,67,0.026627521201842235
2,q83,93,Chitewe,15,MZ,26,0.010800700877120279
2,q83,94,Xirhonga,15,MZ,53,0.01727135784243645
2,q83,95,Xibarue,15,MZ,14,0.0096260334386917
2,q83,96,Cimanyika,15,MZ,3,0.002488543474726941
2,q83,97,Chichewa,15,MZ,4,0.0032449372975312876
2,q83,98,Shona,15,MZ,5,0.002385678153351526
2,q83,99,Swazi,15,MZ,2,0.0013550763490562353
2,q83,100,Afrikaans,8,ZA,497,0.1904775150099808
2,q83,101,Ndebele,8,ZA,33,0.011725951135041027
2,q83,102,Xhosa,8,ZA,375,0.15963913779416528
2,q83,103,Pedi/Spedi/North Sotho,8,ZA,215,0.0847104021936563
2,q83,104,Sesotho/Sotho/South sotho,8,ZA,172,0.07915167361663848
2,q83,105,Setswana/Tswana,8,ZA,174,0.05829209893133007
2,q83,106,Shangaan,8,ZA,92,0.039998063071113074
2,q83,107,Swazi,8,ZA,66,0.024913671246675873
2,q83,108,Venda,8,ZA,31,0.016628834605665496
2,q83,109,Zulu,8,ZA,426,0.19521439423514678
2,q83,120,Akan,2,GH,674,0.5616666666666666
