from,to,distance
ace,hil,4
ace,hnn,4
ace,hoa,4
ace,iaa,4
ace,ibn,4
ace,idn,4
ace,ifu,4
ace,ilo,4
ace,irr,4
ace,isn,4
ace,itw,4
ace,iva,4
ace,ivs,4
ace,jab,4
ace,jav,4
ace,kag,4
ace,kam,4
ace,kao,4
ace,kap,4
ace,kau,4
ace,kbr,4
ace,ked,4
ace,kei,4
ace,kel,4
ace,keo,4
ace,kjo,4
ace,kkt,4
ace,kkv,4
ace,kky,4
ace,kli,4
ace,klt,4
ace,klv,4
ace,koo,4
ace,kos,4
ace,kpm,4
ace,kpn,4
ace,kra,4
ace,krb,4
ace,krr,4
ace,ksr,4
ace,kuz,4
ace,kwa,4
