round,lang_name,variable,iso_alpha2,country,glottocode,glottolog_name,level
5,izere,Q116OTHER,NG,14,izer1241,Izere,language
5,jaba,Q116OTHER,NG,14,idun1241,Idun,language
5,jarawa,Q116OTHER,NG,14,jara1263,Jarawa (Nigeria),language
5,jukun,Q116OTHER,NG,14,juku1254,Jukun Takum,language
5,kijita,Q116OTHER,TZ,17,jita1239,Jita,language
5,kiluri,Q116OTHER,TZ,17,,,
5,koro,Q116OTHER,NG,14,koro1301,Koroic,family
5,kotoko,Q116OTHER,CM,26,,,
5,mafa,Q116OTHER,CM,26,mafa1239,Mafa,language
5,mbo,Q116OTHER,CM,26,mboc1235,Mbo (Cameroon),language
